auction_ending,category,city,currency,data_id,extra_fields,item_category,item_category_id,item_custom_info,item_detail,item_main_category,item_main_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,make,model,price,price_original,requrl,serial_number,source_item_id,thumbbnail_url,thumbnail_s3_path,title,url,vendor_city,vendor_contact,vendor_location,vendor_name,vendor_state,vendor_url,year
,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Caterpillar R1600H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1600h/id/27630516,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Caterpillar R1300G,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1300g/id/27630543,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Loaders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Caterpillar R1600H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-loaders/r1600h/id/27630518,,,,,https://www.constructionequipmentguide.com/used-wheel-loaders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Caterpillar 836K,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/836k/id/23864662,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,1968 Caterpillar 834,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/834/id/21986933,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2009 Caterpillar 826H,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/826h/id/36527335,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2002 Caterpillar 826GII,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/826gii/id/26477208,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2008 Caterpillar 854G,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/854g/id/37301376,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Caterpillar 836K,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/836k/id/32734820,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2002 Caterpillar 854G,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/854g/id/33494182,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,1985 Caterpillar 824C,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/824c/id/19974817,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2007 LeTourneau D950,https://www.constructionequipmentguide.com/used-equipment/letourneau/wheel-dozers/d950/id/32972989,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Wheel Dozers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,1990 Caterpillar 834B,https://www.constructionequipmentguide.com/used-equipment/caterpillar/wheel-dozers/834b/id/20601705,,,,,https://www.constructionequipmentguide.com/used-wheel-dozers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2019 Lincoln Vantage 322,https://www.constructionequipmentguide.com/used-equipment/lincoln/welders/vantage_322/id/32122807,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Miller Big Blue 500 Pro,https://www.constructionequipmentguide.com/used-equipment/miller/welders/big_blue_500_pro/id/35646626,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Miller Big Blue 500,https://www.constructionequipmentguide.com/used-equipment/miller/welders/big_blue_500/id/32122668,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Miller Big Blue 500,https://www.constructionequipmentguide.com/used-equipment/miller/welders/big_blue_500/id/32122766,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Miller Big Blue 400P,https://www.constructionequipmentguide.com/used-equipment/miller/welders/big_blue_400p/id/33406458,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Miller Big Blue 500 Pro,https://www.constructionequipmentguide.com/used-equipment/miller/welders/big_blue_500_pro/id/29551648,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Lincoln Vantage 520,https://www.constructionequipmentguide.com/used-equipment/lincoln/welders/vantage_520/id/34837243,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Multiquip DLW400ESA4,https://www.constructionequipmentguide.com/used-equipment/multiquip/welders/dlw400esa4/id/28584113,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Multiquip DLW400ESA4,https://www.constructionequipmentguide.com/used-equipment/multiquip/welders/dlw400esa4/id/36907740,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Welders', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Lincoln Vantage 300,https://www.constructionequipmentguide.com/used-equipment/lincoln/welders/vantage_300/id/37349705,,,,,https://www.constructionequipmentguide.com/used-welders-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd/id/22573103,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd/id/34551246,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd/id/28305344,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd/id/31721775,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2013 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd_/id/31721774,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd/id/28305343,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2013 Morooka MST1500VD,https://www.constructionequipmentguide.com/used-equipment/morooka/utility-vehicles/mst1500vd_/id/31765104,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2009 Bobcat 2200S,https://www.constructionequipmentguide.com/used-equipment/bobcat/utility-vehicles/2200s/id/38193482,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Bobcat 3400D,https://www.constructionequipmentguide.com/used-equipment/bobcat/utility-vehicles/3400d/id/38304633,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Utility Vehicles', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Bobcat 3400D,https://www.constructionequipmentguide.com/used-equipment/bobcat/utility-vehicles/3400d/id/38304634,,,,,https://www.constructionequipmentguide.com/used-utility-vehicles-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Caterpillar TL1255D,https://www.constructionequipmentguide.com/used-equipment/caterpillar/telehandlers/tl1255d/id/32784613,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2013 Skyjack ZB2044,https://www.constructionequipmentguide.com/used-equipment/skyjack/telehandlers/zb2044/id/22941876,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2013 Caterpillar TL1255C,https://www.constructionequipmentguide.com/used-equipment/caterpillar/telehandlers/tl1255c/id/35780481,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Merlo P40.17,https://www.constructionequipmentguide.com/used-equipment/merlo/telehandlers/p40.17/id/29787394,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 JCB 560-80 Agri Super,https://www.constructionequipmentguide.com/used-equipment/jcb/telehandlers/560-80_agri_super/id/36356227,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 JCB 512-56,https://www.constructionequipmentguide.com/used-equipment/jcb/telehandlers/512-56/id/28583036,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2015 JCB 510-56,https://www.constructionequipmentguide.com/used-equipment/jcb/telehandlers/510-56/id/30264786,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 JCB 510-56,https://www.constructionequipmentguide.com/used-equipment/jcb/telehandlers/510-56/id/31470658,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 Merlo TF42.7CS-156,https://www.constructionequipmentguide.com/used-equipment/merlo/telehandlers/tf42.7cs-156/id/30135731,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Telehandlers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2017 JCB 510-56,https://www.constructionequipmentguide.com/used-equipment/jcb/telehandlers/510-56/id/33404370,,,,,https://www.constructionequipmentguide.com/used-telehandlers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2018 Roadtec FB100,https://www.constructionequipmentguide.com/used-equipment/roadtec/sweepers/fb100/id/31730189,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Lay-Mor Sweepmaster 400,https://www.constructionequipmentguide.com/used-equipment/lay-mor/sweepers/sweepmaster_400/id/32977945,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2016 Broce Broom KR-350,https://www.constructionequipmentguide.com/used-equipment/broce-broom/sweepers/kr-350/id/33908263,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2015 Lay-Mor Sweepmaster 400,https://www.constructionequipmentguide.com/used-equipment/lay-mor/sweepers/sweepmaster_400/id/38206033,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Tennant  T20,https://www.constructionequipmentguide.com/used-equipment/tennant/sweepers/t20/id/24994186,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Broce Broom KR-350,https://www.constructionequipmentguide.com/used-equipment/broce-broom/sweepers/kr-350/id/28267797,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Broce Broom KR-350,https://www.constructionequipmentguide.com/used-equipment/broce-broom/sweepers/kr-350/id/28345975,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Broce Broom KR-350,https://www.constructionequipmentguide.com/used-equipment/broce-broom/sweepers/kr-350/id/28580487,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Broce Broom KR-350,https://www.constructionequipmentguide.com/used-equipment/broce-broom/sweepers/kr-350/id/28581186,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Sweepers', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2014 Broce Broom KR-350,https://www.constructionequipmentguide.com/used-equipment/broce-broom/sweepers/kr-350/id/29704390,,,,,https://www.constructionequipmentguide.com/used-sweepers-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,Caterpillar SR318,https://www.constructionequipmentguide.com/used-equipment/caterpillar/snow-equipment/sr318/id/37078215,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,Caterpillar 10.FT.SNOW.PLOW,https://www.constructionequipmentguide.com/used-equipment/caterpillar/snow-equipment/10.ft.snow.plow/id/29164617,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,2004 Caterpillar SR17,https://www.constructionequipmentguide.com/used-equipment/caterpillar/snow-equipment/sr17/id/38315802,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,Caterpillar 10.FT.SNOW.PUSHER,https://www.constructionequipmentguide.com/used-equipment/caterpillar/snow-equipment/10.ft.snow.pusher/id/37054775,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,Caterpillar 8.FT.SNOW.PUSHER,https://www.constructionequipmentguide.com/used-equipment/caterpillar/snow-equipment/8.ft.snow.pusher/id/37286511,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,SUIHE YS-86,https://www.constructionequipmentguide.com/used-equipment/suihe/snow-equipment/ys-86/id/37323703,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,SUIHE YS-86,https://www.constructionequipmentguide.com/used-equipment/suihe/snow-equipment/ys-86/id/37323704,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,SUIHE YS-86,https://www.constructionequipmentguide.com/used-equipment/suihe/snow-equipment/ys-86/id/37324873,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,SUIHE YS-86,https://www.constructionequipmentguide.com/used-equipment/suihe/snow-equipment/ys-86/id/37324874,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
,"{'cat1_name': 'Snow Equipment', 'cat2_name': '', 'cat1_id': '', 'cat2_id': ''}",,,,,,,,,,,,,SUIHE YS-86,https://www.constructionequipmentguide.com/used-equipment/suihe/snow-equipment/ys-86/id/37324901,,,,,https://www.constructionequipmentguide.com/used-snow-equipment-for-sale/,,,,,,,,,,,,,
